sale_id,sale_date,product_id,product_name,category,region,sales_rep,quantity,unit_price,unit_cost,discount,revenue,profit,payment_method
S00001,2024-02-14,P002,Mouse,Electronics,Central,Charlie,1,30,10,0.19,24.3,16.2,Cash
S00002,2024-08-02,P001,Laptop,Electronics,Central,Alice,1,1200,800,0.02,1176.0,392.0,UPI
S00003,2024-05-22,P008,Standing Desk,Furniture,East,Charlie,19,500,200,0.07,8835.0,5301.0,UPI
S00004,2024-05-15,P004,Desk Chair,Furniture,Central,Fiona,11,250,100,0.03,2667.5,1600.5,Credit Card
S00005,2024-07-04,P008,Standing Desk,Furniture,Central,Bob,18,500,200,0.03,8730.0,5238.0,UPI
S00006,2024-07-13,P002,Mouse,Electronics,North,Bob,2,30,10,0.17,49.8,33.2,Net Banking
S00007,2024-11-07,P008,Standing Desk,Furniture,North,Ethan,12,500,200,0.04,5760.0,3456.0,UPI
S00008,2024-04-27,P009,Headphones,Electronics,North,Diana,8,150,50,0.04,1152.0,768.0,Credit Card
S00009,2024-07-21,P006,Notebook,Stationery,West,Fiona,13,8,2,0.07,96.72,72.54,Cash
S00010,2024-10-25,P003,Keyboard,Electronics,West,Ethan,9,60,20,0.03,523.8,349.2,Cash
S00011,2024-02-26,P006,Notebook,Stationery,North,Hannah,8,8,2,0.25,48.0,36.0,UPI
S00012,2024-01-06,P003,Keyboard,Electronics,Central,Hannah,14,60,20,0.15,714.0,476.0,Credit Card
S00013,2024-01-02,P009,Headphones,Electronics,West,Ethan,9,150,50,0.19,1093.5,729.0,Net Banking
S00014,2024-11-07,P009,Headphones,Electronics,Central,Ethan,6,150,50,0.13,783.0,522.0,UPI
S00015,2024-01-10,P003,Keyboard,Electronics,West,Alice,12,60,20,0.19,583.2,388.8,Credit Card
S00016,2024-02-05,P006,Notebook,Stationery,West,Bob,10,8,2,0.06,75.2,56.4,UPI
S00017,2024-12-19,P003,Keyboard,Electronics,Central,George,16,60,20,0.24,729.6,486.4,UPI
S00018,2024-03-02,P005,Monitor,Electronics,West,Hannah,13,350,150,0.25,3412.5,1950.0,UPI
S00019,2024-02-06,P004,Desk Chair,Furniture,North,Diana,3,250,100,0.08,690.0,414.0,Credit Card
S00020,2024-12-08,P004,Desk Chair,Furniture,East,Bob,3,250,100,0.23,577.5,346.5,Cash
